asset_id,hostname,vendor,product,version,criticality,internet_facing
A00001,vmware-esxi-1,VMware,ESXi,9.2.1,Low,No
A00002,microsoft-exchange-server-2,Microsoft,Exchange Server,1.3.29,High,No
A00003,cisco-meraki-3,Cisco,Meraki,7.8.82,Critical,No
A00004,linux-ubuntu-4,Linux,Ubuntu,10.2.61,Medium,No
A00005,apache-tomcat-5,Apache,Tomcat,9.5.20,Critical,Yes
A00006,linux-centos-6,Linux,CentOS,5.6.4,High,No
A00007,linux-redhat-7,Linux,RedHat,3.6.4,Critical,Yes
A00008,microsoft-sql-server-8,Microsoft,SQL Server,4.0.64,Critical,No
A00009,linux-redhat-9,Linux,RedHat,5.1.11,High,No
A00010,cisco-asa-10,Cisco,ASA,10.5.15,High,No
A00011,vmware-vcenter-11,VMware,vCenter,4.9.96,Medium,Yes
A00012,cisco-asa-12,Cisco,ASA,3.8.49,Critical,No
A00013,oracle-weblogic-13,Oracle,WebLogic,8.0.12,High,No
A00014,oracle-weblogic-14,Oracle,WebLogic,6.9.36,High,Yes
A00015,linux-ubuntu-15,Linux,Ubuntu,6.3.56,Medium,No
A00016,cisco-asa-16,Cisco,ASA,7.5.93,High,Yes
A00017,linux-centos-17,Linux,CentOS,9.5.37,Medium,No
A00018,microsoft-windows-server-18,Microsoft,Windows Server,4.9.32,Critical,No
A00019,cisco-asa-19,Cisco,ASA,3.5.31,High,No
A00020,linux-redhat-20,Linux,RedHat,9.2.37,High,No
A00021,microsoft-exchange-server-21,Microsoft,Exchange Server,7.6.36,Low,Yes
A00022,apache-apache-http-server-22,Apache,Apache HTTP Server,3.4.85,High,No
A00023,apache-apache-http-server-23,Apache,Apache HTTP Server,3.9.80,Low,No
A00024,linux-redhat-24,Linux,RedHat,9.9.34,Low,No
A00025,vmware-vcenter-25,VMware,vCenter,9.3.77,Medium,No
A00026,oracle-weblogic-26,Oracle,WebLogic,6.1.91,Low,No
A00027,microsoft-windows-server-27,Microsoft,Windows Server,1.2.91,Medium,No
A00028,oracle-weblogic-28,Oracle,WebLogic,10.4.17,High,Yes
A00029,microsoft-windows-server-29,Microsoft,Windows Server,1.6.58,Medium,No
A00030,vmware-esxi-30,VMware,ESXi,5.8.17,High,No
A00031,cisco-asa-31,Cisco,ASA,3.3.96,Critical,Yes
A00032,cisco-asa-32,Cisco,ASA,4.1.94,Critical,No
A00033,microsoft-sql-server-33,Microsoft,SQL Server,3.6.51,Medium,No
A00034,cisco-ios-xe-34,Cisco,IOS XE,9.5.75,Low,No
A00035,apache-apache-http-server-35,Apache,Apache HTTP Server,2.4.88,Low,No
A00036,microsoft-windows-server-36,Microsoft,Windows Server,6.2.59,High,No
A00037,linux-ubuntu-37,Linux,Ubuntu,1.7.92,High,No
A00038,microsoft-windows-server-38,Microsoft,Windows Server,6.0.73,Critical,Yes
A00039,apache-tomcat-39,Apache,Tomcat,4.2.31,High,No
A00040,oracle-oracle-db-40,Oracle,Oracle DB,4.4.43,High,Yes
A00041,linux-ubuntu-41,Linux,Ubuntu,5.5.46,Medium,No
A00042,microsoft-sql-server-42,Microsoft,SQL Server,10.7.57,Medium,No
A00043,vmware-vcenter-43,VMware,vCenter,5.8.2,Critical,Yes
A00044,cisco-meraki-44,Cisco,Meraki,7.8.92,Critical,No
A00045,oracle-weblogic-45,Oracle,WebLogic,9.6.99,Medium,No
A00046,cisco-ios-xe-46,Cisco,IOS XE,5.2.72,High,Yes
A00047,oracle-oracle-db-47,Oracle,Oracle DB,4.1.48,Medium,Yes
A00048,linux-redhat-48,Linux,RedHat,6.2.2,Medium,No
A00049,microsoft-windows-server-49,Microsoft,Windows Server,7.7.46,Critical,Yes
A00050,vmware-vcenter-50,VMware,vCenter,3.3.71,Medium,Yes
A00051,apache-tomcat-51,Apache,Tomcat,7.0.16,Medium,Yes
A00052,oracle-weblogic-52,Oracle,WebLogic,4.8.44,Critical,No
A00053,microsoft-sql-server-53,Microsoft,SQL Server,7.4.25,Medium,Yes
A00054,microsoft-windows-server-54,Microsoft,Windows Server,4.3.74,Medium,Yes
A00055,linux-ubuntu-55,Linux,Ubuntu,3.6.85,High,No
A00056,linux-ubuntu-56,Linux,Ubuntu,1.7.8,Low,No
A00057,apache-tomcat-57,Apache,Tomcat,2.2.70,Medium,No
A00058,cisco-ios-xe-58,Cisco,IOS XE,1.8.76,Medium,Yes
A00059,cisco-ios-xe-59,Cisco,IOS XE,3.3.88,High,Yes
A00060,linux-redhat-60,Linux,RedHat,3.3.45,High,Yes
A00061,vmware-vcenter-61,VMware,vCenter,8.1.48,High,No
A00062,oracle-weblogic-62,Oracle,WebLogic,6.2.44,Medium,No
A00063,linux-ubuntu-63,Linux,Ubuntu,3.8.37,Critical,No
A00064,oracle-weblogic-64,Oracle,WebLogic,3.8.86,Critical,No
A00065,apache-tomcat-65,Apache,Tomcat,9.0.0,High,No
A00066,apache-tomcat-66,Apache,Tomcat,8.2.3,High,No
A00067,linux-ubuntu-67,Linux,Ubuntu,3.0.18,Critical,No
A00068,vmware-esxi-68,VMware,ESXi,3.3.0,Low,Yes
A00069,apache-tomcat-69,Apache,Tomcat,8.9.38,Medium,No
A00070,vmware-esxi-70,VMware,ESXi,2.3.2,Medium,Yes
A00071,oracle-weblogic-71,Oracle,WebLogic,8.1.16,Medium,No
A00072,microsoft-exchange-server-72,Microsoft,Exchange Server,7.5.64,High,No
A00073,oracle-weblogic-73,Oracle,WebLogic,9.0.61,Critical,No
A00074,vmware-esxi-74,VMware,ESXi,5.7.16,Medium,Yes
A00075,linux-ubuntu-75,Linux,Ubuntu,5.2.94,Critical,No
A00076,vmware-esxi-76,VMware,ESXi,8.4.68,Medium,No
A00077,oracle-oracle-db-77,Oracle,Oracle DB,10.3.16,High,Yes
A00078,apache-apache-http-server-78,Apache,Apache HTTP Server,7.4.83,Medium,No
A00079,vmware-vcenter-79,VMware,vCenter,3.6.21,High,No
A00080,microsoft-windows-server-80,Microsoft,Windows Server,4.8.44,Medium,No
A00081,apache-apache-http-server-81,Apache,Apache HTTP Server,2.0.5,Critical,No
A00082,apache-tomcat-82,Apache,Tomcat,7.0.83,Medium,No
A00083,microsoft-exchange-server-83,Microsoft,Exchange Server,7.8.14,High,Yes
A00084,vmware-esxi-84,VMware,ESXi,9.7.98,Medium,No
A00085,oracle-weblogic-85,Oracle,WebLogic,1.2.79,Critical,No
A00086,microsoft-windows-server-86,Microsoft,Windows Server,1.0.6,High,No
A00087,microsoft-windows-server-87,Microsoft,Windows Server,8.4.5,Medium,No
A00088,oracle-oracle-db-88,Oracle,Oracle DB,1.5.54,Medium,No
A00089,apache-apache-http-server-89,Apache,Apache HTTP Server,5.9.66,Low,No
A00090,oracle-weblogic-90,Oracle,WebLogic,7.7.31,Critical,No
A00091,microsoft-sql-server-91,Microsoft,SQL Server,5.2.59,Medium,Yes
A00092,microsoft-exchange-server-92,Microsoft,Exchange Server,6.0.96,Medium,No
A00093,cisco-asa-93,Cisco,ASA,4.7.49,Critical,No
A00094,cisco-asa-94,Cisco,ASA,6.6.68,Low,No
A00095,linux-ubuntu-95,Linux,Ubuntu,3.5.70,Critical,No
A00096,cisco-meraki-96,Cisco,Meraki,3.3.48,High,Yes
A00097,oracle-weblogic-97,Oracle,WebLogic,8.1.25,Medium,Yes
A00098,linux-centos-98,Linux,CentOS,1.4.55,High,No
A00099,cisco-ios-xe-99,Cisco,IOS XE,3.8.21,Medium,No
A00100,vmware-esxi-100,VMware,ESXi,3.0.66,High,No
A00101,oracle-weblogic-101,Oracle,WebLogic,8.4.33,Low,No
A00102,apache-tomcat-102,Apache,Tomcat,5.7.21,Low,No
A00103,microsoft-windows-server-103,Microsoft,Windows Server,7.8.80,High,No
A00104,apache-apache-http-server-104,Apache,Apache HTTP Server,7.8.43,Medium,Yes
A00105,cisco-ios-xe-105,Cisco,IOS XE,7.6.18,High,No
A00106,cisco-ios-xe-106,Cisco,IOS XE,9.3.34,Medium,No
A00107,apache-tomcat-107,Apache,Tomcat,6.6.47,Medium,Yes
A00108,apache-tomcat-108,Apache,Tomcat,2.8.34,Critical,No
A00109,microsoft-exchange-server-109,Microsoft,Exchange Server,6.1.27,Critical,Yes
A00110,vmware-esxi-110,VMware,ESXi,2.9.10,High,No
A00111,cisco-meraki-111,Cisco,Meraki,7.5.69,Medium,No
A00112,oracle-oracle-db-112,Oracle,Oracle DB,1.0.13,Low,Yes
A00113,apache-apache-http-server-113,Apache,Apache HTTP Server,10.5.4,Low,Yes
A00114,apache-apache-http-server-114,Apache,Apache HTTP Server,1.1.87,High,No
A00115,vmware-esxi-115,VMware,ESXi,8.4.44,High,Yes
A00116,cisco-ios-xe-116,Cisco,IOS XE,1.3.98,Medium,No
A00117,linux-redhat-117,Linux,RedHat,1.5.80,High,No
A00118,microsoft-windows-server-118,Microsoft,Windows Server,4.6.68,High,Yes
A00119,linux-centos-119,Linux,CentOS,10.6.55,Medium,No
A00120,linux-ubuntu-120,Linux,Ubuntu,8.1.94,High,No
A00121,vmware-esxi-121,VMware,ESXi,8.1.12,High,No
A00122,vmware-vcenter-122,VMware,vCenter,9.6.78,Medium,Yes
A00123,vmware-vcenter-123,VMware,vCenter,1.0.83,Low,No
A00124,microsoft-sql-server-124,Microsoft,SQL Server,1.1.39,Critical,No
A00125,vmware-esxi-125,VMware,ESXi,6.9.81,Low,No
A00126,apache-tomcat-126,Apache,Tomcat,7.8.24,Medium,No
A00127,linux-centos-127,Linux,CentOS,6.0.29,High,Yes
A00128,oracle-weblogic-128,Oracle,WebLogic,8.2.60,Medium,No
A00129,vmware-vcenter-129,VMware,vCenter,1.6.67,High,No
A00130,vmware-vcenter-130,VMware,vCenter,6.8.55,Critical,No
A00131,linux-redhat-131,Linux,RedHat,3.4.68,High,No
A00132,microsoft-sql-server-132,Microsoft,SQL Server,3.0.94,Critical,No
A00133,oracle-weblogic-133,Oracle,WebLogic,5.4.92,Critical,No
A00134,vmware-vcenter-134,VMware,vCenter,8.4.13,Low,Yes
A00135,vmware-esxi-135,VMware,ESXi,3.7.86,Critical,No
A00136,oracle-oracle-db-136,Oracle,Oracle DB,4.8.83,Medium,No
A00137,cisco-ios-xe-137,Cisco,IOS XE,1.3.50,Critical,No
A00138,linux-redhat-138,Linux,RedHat,3.3.41,High,No
A00139,linux-centos-139,Linux,CentOS,5.3.31,High,No
A00140,cisco-ios-xe-140,Cisco,IOS XE,3.4.40,Medium,Yes
A00141,cisco-meraki-141,Cisco,Meraki,3.2.61,Low,No
A00142,apache-tomcat-142,Apache,Tomcat,2.9.53,Medium,No
A00143,cisco-ios-xe-143,Cisco,IOS XE,3.1.53,High,No
A00144,vmware-vcenter-144,VMware,vCenter,9.6.3,Low,No
A00145,apache-tomcat-145,Apache,Tomcat,10.8.44,Low,No
A00146,microsoft-exchange-server-146,Microsoft,Exchange Server,9.2.88,Critical,No
A00147,microsoft-windows-server-147,Microsoft,Windows Server,2.4.70,Low,No
A00148,vmware-esxi-148,VMware,ESXi,7.2.78,Low,No
A00149,cisco-asa-149,Cisco,ASA,2.8.29,Critical,Yes
A00150,oracle-weblogic-150,Oracle,WebLogic,7.2.27,Low,No
A00151,apache-tomcat-151,Apache,Tomcat,4.4.52,Low,No
A00152,cisco-meraki-152,Cisco,Meraki,1.9.86,High,Yes
A00153,vmware-esxi-153,VMware,ESXi,7.1.64,Low,No
